satellite_a,satellite_b,norad_a,norad_b,distance_km,relative_speed_km_s,time_to_cpa_seconds,minimum_distance_km,risk,risk_score
STARLINK-38152,STARLINK-38112,100157,100181,12867.948382075056,3.6646294660493424,0.0,12867.948382075056,LOW,10
SPACEMOBILE-011,STARLINK-38266,100242,100255,12899.303386421947,13.67327517871646,65.0284888442647,12868.6221416535,LOW,10
STARLINK-38179,STARLINK-37832,100150,100231,12869.669336864632,14.677819446418816,10.474140993216954,12868.751050737,LOW,10
STARLINK-38149,STARLINK-38280,100169,100265,12869.152294748754,14.707433007087277,0.0,12869.152294748754,LOW,10
2026-170E,STARLINK-38104,100147,100185,12870.0267498275,5.6842259226163385,0.0,12870.0267498275,LOW,10
2026-170E,2026-188A,100147,100366,13000.374344491041,13.285844680919825,137.96650043723673,12870.502655787728,LOW,10
2026-170E,2026-188B,100147,100367,13000.618721225876,13.287132585520283,137.98630814503048,12870.68670296095,LOW,10
STARLINK-38132,2026-188C,100154,100368,12881.161596824782,14.041477439140193,36.60744035267963,12870.901479843962,LOW,10
STARLINK-38112,STARLINK-38075,100181,100227,12871.155808981655,2.5183759681020357,0.0,12871.155808981655,LOW,10
STARLINK-37864,2026-170A,100107,100143,12872.645508815243,14.356088567429241,8.964805596258584,12872.002129553097,LOW,10
STARLINK-38219,GLOBALSTAR 2-R OBJECT A,100215,100325,12976.422783943108,11.911179999285917,137.8986091555019,12872.048264795842,LOW,10
STARLINK-38223,GLOBALSTAR 2-R OBJECT B,100190,100326,12872.234354195703,6.480004505954542,0.0,12872.234354195703,LOW,10
STARLINK-37717,STARLINK-38167,100226,100257,12872.77576334302,14.78464746549609,0.0,12872.77576334302,LOW,10
TJS-27B,STARLINK-38172,100176,100214,12934.767072469187,11.422779412478443,110.12172031745621,12873.457055937006,LOW,10
STARLINK-38161,STARLINK-38115,100106,100111,12874.034086050828,14.74291802096888,0.0,12874.034086050828,LOW,10
STARLINK-38030,2026-168B,100118,100130,12874.084266332273,12.074223871842346,0.0,12874.084266332273,LOW,10
STARLINK-38118,STARLINK-38163,100108,100250,12874.580895305005,14.360807700610104,0.0,12874.580895305005,LOW,10
STARLINK-38157,H-3 R/B,100263,100271,36779.482306372505,6.492212955540131,5306.740031927594,12874.645644865113,LOW,10
STARLINK-38178,STARLINK-37832,100201,100231,12875.217836258005,1.3782434501651573,0.0,12875.217836258005,LOW,10
STARLINK-38139,SPACEMOBILE-011,100236,100242,12875.252691886493,13.570050564304816,0.0,12875.252691886493,LOW,10
STARLINK-38185,STARLINK-38177,100202,100234,12876.238342432282,1.0325628321547549,0.0,12876.238342432282,LOW,10
STARLINK-38217,STARLINK-38251,100170,100229,12876.596197708519,14.562318704667792,0.0,12876.596197708519,LOW,10
STARLINK-38219,GLOBALSTAR 2-R OBJECT B,100215,100326,12982.47059781726,11.929436310613324,138.56789220455227,12876.801311392832,LOW,10
STARLINK-38096,STARLINK-38266,100119,100255,12877.122329172409,14.522225739853514,0.0,12877.122329172409,LOW,10
CZ-6A DEB,2026-178A,100175,100237,12877.219984682948,12.88922965755877,0.0,12877.219984682948,LOW,10
STARLINK-38200,2026-188A,100232,100366,12880.272754052688,14.492304776384989,17.923778368614702,12877.65322537713,LOW,10
2026-168D,STARLINK-38079,100132,100165,12896.087448502747,13.335590139826367,50.450219825628714,12878.526076511042,LOW,10
STARLINK-38200,2026-188B,100232,100367,12881.357038805672,14.493558537031614,17.92179253431604,12878.737857934166,LOW,10
STARLINK-37712,STARLINK-38151,100109,100168,12879.640342314928,14.597682378746622,0.0,12879.640342314928,LOW,10
PESSOA,STARLINK-38075,100139,100227,12879.943386295325,9.569421671333918,0.0,12879.943386295325,LOW,10
STARLINK-38101,2026-170E,100110,100147,12880.81093518871,14.472941156612148,10.083388728877093,12879.984198236909,LOW,10
STARLINK-38062,2026-170E,100117,100147,12880.01366769645,14.379372215390577,0.0,12880.01366769645,LOW,10
STARLINK-37717,STARLINK-38139,100226,100236,12880.07107988512,14.766524108642484,0.0,12880.07107988512,LOW,10
STARLINK-38142,HULIANWANG DIGUI-179,100183,100204,13350.625964671157,10.235140954590623,343.1874393511566,12880.25826172656,LOW,10
TJS-27B,STARLINK-38280,100176,100265,12947.759842084366,11.971826147587295,110.07593052481023,12880.522582066218,LOW,10
STARLINK-38249,STARLINK-38157,100221,100263,12880.585201642292,14.743597150033088,0.0,12880.585201642292,LOW,10
STARLINK-38113,HULIANWANG DIGUI-185,100112,100210,12880.955962885515,11.753092663542349,0.0,12880.955962885515,LOW,10
2026-168J,STARLINK-38053,100137,100230,12886.646531957342,14.789552562007543,23.033017160542883,12882.143368534205,LOW,10
STARLINK-38136,STARLINK-38200,100166,100232,12882.639992613504,14.909498853678437,6.705095138893208,12882.252103444636,LOW,10
STARLINK-38127,STARLINK-38130,100155,100187,12882.324872409938,5.009783423041976,0.0,12882.324872409938,LOW,10
STARLINK-38072,STARLINK-38140,100113,100182,12882.43229773749,4.039647326327713,0.0,12882.43229773749,LOW,10
STARLINK-38120,2026-168E,100120,100133,12885.49156673448,12.002662083660292,20.074739004326293,12883.238562765546,LOW,10
STARLINK-38219,GLOBALSTAR 2-R OBJECT C,100215,100327,12990.784515794763,11.954561002835314,139.51030874404904,12883.28285839303,LOW,10
STARLINK-38140,STARLINK-38219,100182,100215,12883.894733074643,5.1851517421917865,0.0,12883.894733074643,LOW,10
STARLINK-38160,STARLINK-37721,100121,100220,12885.337595571262,14.221401666957544,0.0,12885.337595571262,LOW,10
STARLINK-38219,STARLINK-38241,100215,100225,12885.37343433645,14.776420323376234,0.6415100726335713,12885.369947605106,LOW,10
STARLINK-38134,STARLINK-38187,100123,100259,12885.484566641544,14.724978745678682,0.0,12885.484566641544,LOW,10
STARLINK-38223,GLOBALSTAR 2-R OBJECT C,100190,100327,12885.746423472223,6.432071472094399,0.0,12885.746423472223,LOW,10
STARLINK-38177,SPACEMOBILE-012,100234,100241,12886.279236440116,13.736657149413412,0.0,12886.279236440116,LOW,10
STARLINK-37991,STARLINK-38187,100124,100259,12886.292802512671,14.732460714613794,0.0,12886.292802512671,LOW,10
STARLINK-38113,STARLINK-38232,100112,100260,12886.514250947854,14.400978326774915,0.0,12886.514250947854,LOW,10
STARLINK-38173,STARLINK-38144,100151,100256,12887.933303846525,14.817758590353408,0.0,12887.933303846525,LOW,10
STARLINK-38219,GLOBALSTAR 2-R OBJECT D,100215,100328,12997.222426539434,11.974466503687633,140.23734036578256,12888.283517338254,LOW,10
STARLINK-38100,HULIANWANG DIGUI-180,100149,100205,13048.427751366551,10.005551691607275,203.6564753806153,12888.33830534675,LOW,10
STARLINK-38161,STARLINK-38133,100106,100216,12894.353022509682,15.192915140369365,25.699015195732883,12888.440331024813,LOW,10
STARLINK-38172,STARLINK-38246,100214,100247,12888.981288623112,14.752011821428463,1.8612239197122404,12888.952043620948,LOW,10
2026-168E,STARLINK-38151,100133,100168,12891.935839750771,13.063351455545469,18.015386582846666,12889.787591588667,LOW,10
STARLINK-38188,SPACEMOBILE-013,100233,100240,12890.203521763538,13.996634994611844,0.0,12890.203521763538,LOW,10
STARLINK-38161,STARLINK-38100,100106,100149,12890.851326936172,14.739879616182918,8.206842113891087,12890.283732674807,LOW,10
STARLINK-37740,STARLINK-38130,100102,100187,12890.458126248426,4.061999469705187,0.0,12890.458126248426,LOW,10
STARLINK-38222,STARLINK-38113,100101,100112,12891.253680969703,14.769838445860126,0.0,12891.253680969703,LOW,10
STARLINK-38088,STARLINK-38266,100114,100255,12891.576544435922,14.895430812176775,0.0,12891.576544435922,LOW,10
STARLINK-37740,SPACEMOBILE-011,100102,100242,12944.370196938151,14.633373622032282,79.73750254327615,12891.672919316548,LOW,10
SPACEMOBILE-011,STARLINK-38252,100242,100254,12921.802387237347,13.697280642420909,64.13596219877066,12891.90580512134,LOW,10
STARLINK-38219,GLOBALSTAR 2-R OBJECT E,100215,100329,13003.114617529802,11.993341701374227,140.9097835150844,12892.8259167044,LOW,10
STARLINK-38199,STARLINK-38053,100218,100230,12892.906844529427,14.782970306405542,0.4498972779858565,12892.90512911393,LOW,10
STARLINK-38162,2026-188C,100159,100368,12911.533744214712,14.820209608379532,46.4998943962949,12893.12965088345,LOW,10
2026-168A,STARLINK-38233,100129,100249,12917.698105765368,14.064106372145886,56.09419271961467,12893.585147601094,LOW,10
STARLINK-38142,STARLINK-38164,100183,100224,12893.78417778038,3.340389491139919,0.0,12893.78417778038,LOW,10
STARLINK-38098,STARLINK-38196,100164,100200,12894.052654591802,4.874531811138738,0.0,12894.052654591802,LOW,10
STARLINK-38162,SPACEMOBILE-012,100159,100241,12894.398938580083,13.31346069788272,0.0,12894.398938580083,LOW,10
STARLINK-38038,STARLINK-38190,100116,100219,12894.462544209826,15.257289260706386,0.0,12894.462544209826,LOW,10
STARLINK-38135,STARLINK-38242,100122,100266,12896.331557923817,14.502450058092226,14.642744912773397,12894.583076564668,LOW,10
STARLINK-38088,STARLINK-38081,100114,100153,12894.800336192251,14.794767469752914,0.0,12894.800336192251,LOW,10
HULIANWANG DIGUI-186,STARLINK-38188,100211,100233,12894.924905396747,10.934893122309562,0.0,12894.924905396747,LOW,10
